name,episode_title,location,sub_location,time
Joffrey Baratheon,Fire and Blood,The Crownlands,King's Landing,126
Yoren,Fire and Blood,The Crownlands,King's Landing,40
Arya Stark,Fire and Blood,The Crownlands,King's Landing,40
Yoren,Fire and Blood,The Crownlands,King's Landing,10
Arya Stark,Fire and Blood,The Crownlands,King's Landing,10
Arya Stark,Fire and Blood,The Crownlands,King's Landing,135
Hot Pie,Fire and Blood,The Crownlands,King's Landing,135
Lommy Greenhands,Fire and Blood,The Crownlands,King's Landing,135
Gendry,Fire and Blood,The Crownlands,King's Landing,135
Yoren,Fire and Blood,The Crownlands,King's Landing,135
Jeor Mormont,Fire and Blood,The Wall,Castle Black,117
Jon Snow,Fire and Blood,The Wall,Castle Black,117
Jeor Mormont,Fire and Blood,The Wall,Castle Black,46
Jon Snow,Fire and Blood,The Wall,Castle Black,46
Khal Drogo,Fire and Blood,The Red Waste,The Red Waste,263
Daenerys Targaryen,Fire and Blood,The Red Waste,The Red Waste,263
Rakharo,Fire and Blood,The Red Waste,The Red Waste,263
Drogon,Fire and Blood,The Red Waste,The Red Waste,263
Rhaegal,Fire and Blood,The Red Waste,The Red Waste,263
Viserion,Fire and Blood,The Red Waste,The Red Waste,263
Jorah Mormont,Fire and Blood,The Red Waste,The Red Waste,263
Mirri Maz Duur,Fire and Blood,The Red Waste,The Red Waste,263
Jorah Mormont,Fire and Blood,The Red Waste,The Red Waste,108
Rakharo,Fire and Blood,The Red Waste,The Red Waste,108
Daenerys Targaryen,Fire and Blood,The Red Waste,The Red Waste,108
Drogon,Fire and Blood,The Red Waste,The Red Waste,108
Rhaegal,Fire and Blood,The Red Waste,The Red Waste,108
Viserion,Fire and Blood,The Red Waste,The Red Waste,108
Sandor Clegane,The North Remembers,The Crownlands,King's Landing,39
Joffrey Baratheon,The North Remembers,The Crownlands,King's Landing,39
Sansa Stark,The North Remembers,The Crownlands,King's Landing,39
Meryn Trant,The North Remembers,The Crownlands,King's Landing,39
Joffrey Baratheon,The North Remembers,The Crownlands,King's Landing,222
Tommen Baratheon,The North Remembers,The Crownlands,King's Landing,222
Myrcella Baratheon,The North Remembers,The Crownlands,King's Landing,222
Sansa Stark,The North Remembers,The Crownlands,King's Landing,222
Dontos Hollard,The North Remembers,The Crownlands,King's Landing,222
Sandor Clegane,The North Remembers,The Crownlands,King's Landing,222
Meryn Trant,The North Remembers,The Crownlands,King's Landing,222
Tyrion Lannister,The North Remembers,The Crownlands,King's Landing,222
Bronn,The North Remembers,The Crownlands,King's Landing,222
Lord Varys,The North Remembers,The Crownlands,King's Landing,139
Grand Maester Pycelle,The North Remembers,The Crownlands,King's Landing,139
Cersei Lannister,The North Remembers,The Crownlands,King's Landing,139
Petyr Baelish,The North Remembers,The Crownlands,King's Landing,139
Janos Slynt,The North Remembers,The Crownlands,King's Landing,139
Tyrion Lannister,The North Remembers,The Crownlands,King's Landing,139
Tyrion Lannister,The North Remembers,The Crownlands,King's Landing,97
Cersei Lannister,The North Remembers,The Crownlands,King's Landing,97
Bran Stark,The North Remembers,The North,Winterfell,116
Maester Luwin,The North Remembers,The North,Winterfell,116
Lord Portan,The North Remembers,The North,Winterfell,116
Northern Lord,The North Remembers,The North,Winterfell,116
Summer,The North Remembers,The North,Winterfell,33
Bran Stark,The North Remembers,The North,Winterfell,7
Hodor,The North Remembers,The North,Winterfell,84
Bran Stark,The North Remembers,The North,Winterfell,84
Osha,The North Remembers,The North,Winterfell,84
Daenerys Targaryen,The North Remembers,The Red Waste,The Red Waste,185
Drogon,The North Remembers,The Red Waste,The Red Waste,185
Doreah,The North Remembers,The Red Waste,The Red Waste,185
Rakharo,The North Remembers,The Red Waste,The Red Waste,185
Jorah Mormont,The North Remembers,The Red Waste,The Red Waste,185
Aggo,The North Remembers,The Red Waste,The Red Waste,185
Kovarro,The North Remembers,The Red Waste,The Red Waste,185
Daenerys Targaryen,The North Remembers,The Red Waste,The Red Waste,53
Rakharo,The North Remembers,The Red Waste,The Red Waste,53
Jon Snow,The North Remembers,North of the Wall,Craster's Keep,35
Samwell Tarly,The North Remembers,North of the Wall,Craster's Keep,35
Grenn,The North Remembers,North of the Wall,Craster's Keep,35
Eddison Tollett,The North Remembers,North of the Wall,Craster's Keep,35
Jon Snow,The North Remembers,North of the Wall,Craster's Keep,68
Eddison Tollett,The North Remembers,North of the Wall,Craster's Keep,68
Samwell Tarly,The North Remembers,North of the Wall,Craster's Keep,68
Grenn,The North Remembers,North of the Wall,Craster's Keep,68
Jeor Mormont,The North Remembers,North of the Wall,Craster's Keep,239
Craster,The North Remembers,North of the Wall,Craster's Keep,239
Jon Snow,The North Remembers,North of the Wall,Craster's Keep,239
Gilly,The North Remembers,North of the Wall,Craster's Keep,239
Jeor Mormont,The North Remembers,North of the Wall,Craster's Keep,32
Jon Snow,The North Remembers,North of the Wall,Craster's Keep,32
Melisandre,The North Remembers,The Crownlands,Dragonstone,189
Maester Cressen,The North Remembers,The Crownlands,Dragonstone,189
Davos Seaworth,The North Remembers,The Crownlands,Dragonstone,189
Matthos Seaworth,The North Remembers,The Crownlands,Dragonstone,189
Stannis Baratheon,The North Remembers,The Crownlands,Dragonstone,189
Selyse Baratheon,The North Remembers,The Crownlands,Dragonstone,189
Davos Seaworth,The North Remembers,The Crownlands,Dragonstone,59
Maester Cressen,The North Remembers,The Crownlands,Dragonstone,59
Stannis Baratheon,The North Remembers,The Crownlands,Dragonstone,184
Matthos Seaworth,The North Remembers,The Crownlands,Dragonstone,184
Davos Seaworth,The North Remembers,The Crownlands,Dragonstone,184
Melisandre,The North Remembers,The Crownlands,Dragonstone,184
Maester Cressen,The North Remembers,The Crownlands,Dragonstone,184
Robb Stark,The North Remembers,The Riverlands,Camp of the North,208
Jaime Lannister,The North Remembers,The Riverlands,Camp of the North,208
Grey Wind,The North Remembers,The Riverlands,Camp of the North,208
Shae,The North Remembers,The Crownlands,King's Landing,99
Tyrion Lannister,The North Remembers,The Crownlands,King's Landing,99
Petyr Baelish,The North Remembers,The Crownlands,King's Landing,165
Cersei Lannister,The North Remembers,The Crownlands,King's Landing,165
Alton Lannister,The North Remembers,The Riverlands,Camp of the North,92
Robb Stark,The North Remembers,The Riverlands,Camp of the North,92
Rodrik Cassel,The North Remembers,The Riverlands,Camp of the North,92
Theon Greyjoy,The North Remembers,The Riverlands,Camp of the North,92
Theon Greyjoy,The North Remembers,The Riverlands,Camp of the North,68
Robb Stark,The North Remembers,The Riverlands,Camp of the North,68
Catelyn Stark,The North Remembers,The Riverlands,Camp of the North,171
Robb Stark,The North Remembers,The Riverlands,Camp of the North,171
Cersei Lannister,The North Remembers,The Crownlands,King's Landing,145
Joffrey Baratheon,The North Remembers,The Crownlands,King's Landing,145
Ros,The North Remembers,The Crownlands,King's Landing,25
Armeca,The North Remembers,The Crownlands,King's Landing,25
Daisy,The North Remembers,The Crownlands,King's Landing,25
Ros,The North Remembers,The Crownlands,King's Landing,125
Daisy,The North Remembers,The Crownlands,King's Landing,125
Janos Slynt,The North Remembers,The Crownlands,King's Landing,125
Mhaegen,The North Remembers,The Crownlands,King's Landing,125
Barra,The North Remembers,The Crownlands,King's Landing,125
Janos Slynt,The North Remembers,The Crownlands,King's Landing,23
Tobho Mott,The North Remembers,The Crownlands,King's Landing,23
Gendry,The North Remembers,The Riverlands,The Kingsroad,29
Arya Stark,The North Remembers,The Riverlands,The Kingsroad,29
Hot Pie,The North Remembers,The Riverlands,The Kingsroad,29
Lommy Greenhands,The North Remembers,The Riverlands,The Kingsroad,29
Arya Stark,The Night Lands,The Riverlands,The Kingsroad,13
Arya Stark,The Night Lands,The Riverlands,The Kingsroad,85
Jaqen H'ghar,The Night Lands,The Riverlands,The Kingsroad,85
Rorge,The Night Lands,The Riverlands,The Kingsroad,85
Biter,The Night Lands,The Riverlands,The Kingsroad,85
Gendry,The Night Lands,The Riverlands,The Kingsroad,85
Arya Stark,The Night Lands,The Riverlands,The Kingsroad,133
Gendry,The Night Lands,The Riverlands,The Kingsroad,133
Yoren,The Night Lands,The Riverlands,The Kingsroad,133
Goldcloak,The Night Lands,The Riverlands,The Kingsroad,133
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,150
Shae,The Night Lands,The Crownlands,King's Landing,150
Lord Varys,The Night Lands,The Crownlands,King's Landing,150
Cersei Lannister,The Night Lands,The Crownlands,King's Landing,49
Alton Lannister,The Night Lands,The Crownlands,King's Landing,49
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,49
Grand Maester Pycelle,The Night Lands,The Crownlands,King's Landing,49
Lord Varys,The Night Lands,The Crownlands,King's Landing,49
Petyr Baelish,The Night Lands,The Crownlands,King's Landing,49
Cersei Lannister,The Night Lands,The Crownlands,King's Landing,77
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,77
Grand Maester Pycelle,The Night Lands,The Crownlands,King's Landing,77
Lord Varys,The Night Lands,The Crownlands,King's Landing,77
Petyr Baelish,The Night Lands,The Crownlands,King's Landing,77
Janos Slynt,The Night Lands,The Crownlands,King's Landing,77
Samwell Tarly,The Night Lands,North of the Wall,Craster's Keep,89
Grenn,The Night Lands,North of the Wall,Craster's Keep,89
Eddison Tollett,The Night Lands,North of the Wall,Craster's Keep,89
Samwell Tarly,The Night Lands,North of the Wall,Craster's Keep,46
Gilly,The Night Lands,North of the Wall,Craster's Keep,46
Ghost,The Night Lands,North of the Wall,Craster's Keep,46
Jon Snow,The Night Lands,North of the Wall,Craster's Keep,123
Samwell Tarly,The Night Lands,North of the Wall,Craster's Keep,123
Gilly,The Night Lands,North of the Wall,Craster's Keep,123
Jorah Mormont,The Night Lands,The Red Waste,The Red Waste,171
Daenerys Targaryen,The Night Lands,The Red Waste,The Red Waste,171
Irri,The Night Lands,The Red Waste,The Red Waste,171
Doreah,The Night Lands,The Red Waste,The Red Waste,171
Rakharo,The Night Lands,The Red Waste,The Red Waste,171
Theon Greyjoy,The Night Lands,The Sunset Sea,The Sunset Sea,23
Theon Greyjoy,The Night Lands,The Sunset Sea,The Sunset Sea,119
Captain's Daughter,The Night Lands,The Sunset Sea,The Sunset Sea,119
Petyr Baelish,The Night Lands,The Crownlands,King's Landing,55
Brothel Customer,The Night Lands,The Crownlands,King's Landing,55
Armeca,The Night Lands,The Crownlands,King's Landing,55
Petyr Baelish,The Night Lands,The Crownlands,King's Landing,209
Ros,The Night Lands,The Crownlands,King's Landing,209
Podrick Payne,The Night Lands,The Crownlands,King's Landing,15
Janos Slynt,The Night Lands,The Crownlands,King's Landing,15
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,15
Janos Slynt,The Night Lands,The Crownlands,King's Landing,180
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,180
Bronn,The Night Lands,The Crownlands,King's Landing,180
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,31
Bronn,The Night Lands,The Crownlands,King's Landing,31
Gendry,The Night Lands,The Riverlands,The Kingsroad,88
Arya Stark,The Night Lands,The Riverlands,The Kingsroad,88
Hot Pie,The Night Lands,The Riverlands,The Kingsroad,88
Lommy Greenhands,The Night Lands,The Riverlands,The Kingsroad,88
Gendry,The Night Lands,The Riverlands,The Kingsroad,148
Arya Stark,The Night Lands,The Riverlands,The Kingsroad,148
Theon Greyjoy,The Night Lands,The Iron Islands,Lordsport,79
Lordsport Dockhand,The Night Lands,The Iron Islands,Lordsport,79
Theon Greyjoy,The Night Lands,The Iron Islands,Lordsport,35
Yara Greyjoy,The Night Lands,The Iron Islands,Lordsport,35
Theon Greyjoy,The Night Lands,The Iron Islands,Pyke,68
Yara Greyjoy,The Night Lands,The Iron Islands,Pyke,68
Theon Greyjoy,The Night Lands,The Iron Islands,Pyke,166
Balon Greyjoy,The Night Lands,The Iron Islands,Pyke,166
Theon Greyjoy,The Night Lands,The Iron Islands,Pyke,85
Balon Greyjoy,The Night Lands,The Iron Islands,Pyke,85
Yara Greyjoy,The Night Lands,The Iron Islands,Pyke,85
Davos Seaworth,The Night Lands,The Crownlands,Dragonstone,192
Matthos Seaworth,The Night Lands,The Crownlands,Dragonstone,192
Salladhor Saan,The Night Lands,The Crownlands,Dragonstone,192
Davos Seaworth,The Night Lands,The Crownlands,Dragonstone,68
Matthos Seaworth,The Night Lands,The Crownlands,Dragonstone,68
Tyrion Lannister,The Night Lands,The Crownlands,King's Landing,151
Cersei Lannister,The Night Lands,The Crownlands,King's Landing,151
Davos Seaworth,The Night Lands,The Crownlands,Dragonstone,73
Matthos Seaworth,The Night Lands,The Crownlands,Dragonstone,73
Stannis Baratheon,The Night Lands,The Crownlands,Dragonstone,73
Melisandre,The Night Lands,The Crownlands,Dragonstone,73
Stannis Baratheon,The Night Lands,The Crownlands,Dragonstone,161
Melisandre,The Night Lands,The Crownlands,Dragonstone,161
Jon Snow,The Night Lands,North of the Wall,Craster's Keep,102
Craster,The Night Lands,North of the Wall,Craster's Keep,102
Jon Snow,The Night Lands,North of the Wall,Craster's Keep,30
White Walker,The Night Lands,North of the Wall,Craster's Keep,30
Craster,The Night Lands,North of the Wall,Craster's Keep,30
Craster,What Is Dead May Never Die,North of the Wall,Craster's Keep,37
Jeor Mormont,What Is Dead May Never Die,North of the Wall,Craster's Keep,37
Jon Snow,What Is Dead May Never Die,North of the Wall,Craster's Keep,37
Jeor Mormont,What Is Dead May Never Die,North of the Wall,Craster's Keep,114
Samwell Tarly,What Is Dead May Never Die,North of the Wall,Craster's Keep,114
Jon Snow,What Is Dead May Never Die,North of the Wall,Craster's Keep,114
Samwell Tarly,What Is Dead May Never Die,North of the Wall,Craster's Keep,89
Gilly,What Is Dead May Never Die,North of the Wall,Craster's Keep,89
Hodor,What Is Dead May Never Die,The North,Winterfell,18
Maester Luwin,What Is Dead May Never Die,The North,Winterfell,18
Hodor,What Is Dead May Never Die,The North,Winterfell,33
Bran Stark,What Is Dead May Never Die,The North,Winterfell,33
Summer,What Is Dead May Never Die,The North,Winterfell,33
Bran Stark,What Is Dead May Never Die,The North,Winterfell,152
Maester Luwin,What Is Dead May Never Die,The North,Winterfell,152
Renly Baratheon,What Is Dead May Never Die,The Stormlands,Storm's End,248
Margaery Tyrell,What Is Dead May Never Die,The Stormlands,Storm's End,248
Brienne of Tarth,What Is Dead May Never Die,The Stormlands,Storm's End,248
Catelyn Stark,What Is Dead May Never Die,The Stormlands,Storm's End,248
Loras Tyrell,What Is Dead May Never Die,The Stormlands,Storm's End,248
Colen of Greenpools,What Is Dead May Never Die,The Stormlands,Storm's End,248
Catelyn Stark,What Is Dead May Never Die,The Stormlands,Storm's End,55
Renly Baratheon,What Is Dead May Never Die,The Stormlands,Storm's End,55
Brienne of Tarth,What Is Dead May Never Die,The Stormlands,Storm's End,55
Gerard,What Is Dead May Never Die,The Stormlands,Storm's End,55
Brienne of Tarth,What Is Dead May Never Die,The Stormlands,Storm's End,26
Catelyn Stark,What Is Dead May Never Die,The Stormlands,Storm's End,26
Theon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,235
Yara Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,235
Balon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,235
Theon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,23
Yara Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,23
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,100
Shae,What Is Dead May Never Die,The Crownlands,King's Landing,100
Cersei Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,88
Tommen Baratheon,What Is Dead May Never Die,The Crownlands,King's Landing,88
Myrcella Baratheon,What Is Dead May Never Die,The Crownlands,King's Landing,88
Sansa Stark,What Is Dead May Never Die,The Crownlands,King's Landing,88
Sansa Stark,What Is Dead May Never Die,The Crownlands,King's Landing,133
Shae,What Is Dead May Never Die,The Crownlands,King's Landing,133
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,79
Grand Maester Pycelle,What Is Dead May Never Die,The Crownlands,King's Landing,79
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,41
Lord Varys,What Is Dead May Never Die,The Crownlands,King's Landing,41
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,117
Petyr Baelish,What Is Dead May Never Die,The Crownlands,King's Landing,117
Renly Baratheon,What Is Dead May Never Die,The Stormlands,Storm's End,125
Loras Tyrell,What Is Dead May Never Die,The Stormlands,Storm's End,125
Renly Baratheon,What Is Dead May Never Die,The Stormlands,Storm's End,193
Margaery Tyrell,What Is Dead May Never Die,The Stormlands,Storm's End,193
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,82
Cersei Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,82
Theon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,36
Balon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,81
Yara Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,81
Theon Greyjoy,What Is Dead May Never Die,The Iron Islands,Pyke,81
Drowned Priest,What Is Dead May Never Die,The Iron Islands,Pyke,81
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,74
Petyr Baelish,What Is Dead May Never Die,The Crownlands,King's Landing,74
Bronn,What Is Dead May Never Die,The Crownlands,King's Landing,74
Grand Maester Pycelle,What Is Dead May Never Die,The Crownlands,King's Landing,128
Daisy,What Is Dead May Never Die,The Crownlands,King's Landing,128
Bronn,What Is Dead May Never Die,The Crownlands,King's Landing,128
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,128
Timett,What Is Dead May Never Die,The Crownlands,King's Landing,128
Lord Varys,What Is Dead May Never Die,The Crownlands,King's Landing,111
Tyrion Lannister,What Is Dead May Never Die,The Crownlands,King's Landing,111
Arya Stark,What Is Dead May Never Die,The Riverlands,The Kingsroad,257
Yoren,What Is Dead May Never Die,The Riverlands,The Kingsroad,257
Gendry,What Is Dead May Never Die,The Riverlands,The Kingsroad,257
Yoren,What Is Dead May Never Die,The Riverlands,The Kingsroad,33
Arya Stark,What Is Dead May Never Die,The Riverlands,The Kingsroad,33
Gendry,What Is Dead May Never Die,The Riverlands,The Kingsroad,33
Hot Pie,What Is Dead May Never Die,The Riverlands,The Kingsroad,33
Lommy Greenhands,What Is Dead May Never Die,The Riverlands,The Kingsroad,33
Yoren,What Is Dead May Never Die,The Riverlands,The Kingsroad,92
Amory Lorch,What Is Dead May Never Die,The Riverlands,The Kingsroad,92
Arya Stark,What Is Dead May Never Die,The Riverlands,The Kingsroad,92
Gendry,What Is Dead May Never Die,The Riverlands,The Kingsroad,92
Polliver,What Is Dead May Never Die,The Riverlands,The Kingsroad,92
Arya Stark,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Gendry,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Hot Pie,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Lommy Greenhands,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Jaqen H'ghar,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Polliver,What Is Dead May Never Die,The Riverlands,The Kingsroad,119
Arya Stark,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Gendry,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Amory Lorch,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Hot Pie,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Yoren,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Lommy Greenhands,What Is Dead May Never Die,The Riverlands,The Kingsroad,50
Rennick,Garden of Bones,The Westerlands,Oxcross,109
Lannister Guard,Garden of Bones,The Westerlands,Oxcross,109
Grey Wind,Garden of Bones,The Westerlands,Oxcross,109
Robb Stark,Garden of Bones,The Westerlands,Oxcross,13
Rennick,Garden of Bones,The Westerlands,Oxcross,64
Robb Stark,Garden of Bones,The Westerlands,Oxcross,64
Roose Bolton,Garden of Bones,The Westerlands,Oxcross,64
Talisa Maegyr,Garden of Bones,The Westerlands,Oxcross,19
Wounded Lannister Soldier,Garden of Bones,The Westerlands,Oxcross,19
Talisa Maegyr,Garden of Bones,The Westerlands,Oxcross,31
Robb Stark,Garden of Bones,The Westerlands,Oxcross,31
Wounded Lannister Soldier,Garden of Bones,The Westerlands,Oxcross,31
Roose Bolton,Garden of Bones,The Westerlands,Oxcross,31
Talisa Maegyr,Garden of Bones,The Westerlands,Oxcross,107
Robb Stark,Garden of Bones,The Westerlands,Oxcross,107
Joffrey Baratheon,Garden of Bones,The Crownlands,King's Landing,76
Sansa Stark,Garden of Bones,The Crownlands,King's Landing,76
Sandor Clegane,Garden of Bones,The Crownlands,King's Landing,76
Lancel Lannister,Garden of Bones,The Crownlands,King's Landing,76
Meryn Trant,Garden of Bones,The Crownlands,King's Landing,76
Joffrey Baratheon,Garden of Bones,The Crownlands,King's Landing,96
Sansa Stark,Garden of Bones,The Crownlands,King's Landing,96
Sandor Clegane,Garden of Bones,The Crownlands,King's Landing,96
Lancel Lannister,Garden of Bones,The Crownlands,King's Landing,96
Meryn Trant,Garden of Bones,The Crownlands,King's Landing,96
Tyrion Lannister,Garden of Bones,The Crownlands,King's Landing,96
Bronn,Garden of Bones,The Crownlands,King's Landing,96
Tyrion Lannister,Garden of Bones,The Crownlands,King's Landing,25
Bronn,Garden of Bones,The Crownlands,King's Landing,25
Sandor Clegane,Garden of Bones,The Crownlands,King's Landing,24
Joffrey Baratheon,Garden of Bones,The Crownlands,King's Landing,24
Joffrey Baratheon,Garden of Bones,The Crownlands,King's Landing,196
Ros,Garden of Bones,The Crownlands,King's Landing,196
Daisy,Garden of Bones,The Crownlands,King's Landing,196
Renly Baratheon,Garden of Bones,The Stormlands,Storm's End,13
Brienne of Tarth,Garden of Bones,The Stormlands,Storm's End,13
Petyr Baelish,Garden of Bones,The Stormlands,Storm's End,13
Renly Baratheon,Garden of Bones,The Stormlands,Storm's End,95
Brienne of Tarth,Garden of Bones,The Stormlands,Storm's End,95
Petyr Baelish,Garden of Bones,The Stormlands,Storm's End,95
Petyr Baelish,Garden of Bones,The Stormlands,Storm's End,36
Margaery Tyrell,Garden of Bones,The Stormlands,Storm's End,36
Loras Tyrell,Garden of Bones,The Stormlands,Storm's End,36
Margaery Tyrell,Garden of Bones,The Stormlands,Storm's End,77
Petyr Baelish,Garden of Bones,The Stormlands,Storm's End,77
Daenerys Targaryen,Garden of Bones,The Red Waste,The Red Waste,65
Jorah Mormont,Garden of Bones,The Red Waste,The Red Waste,65
Kovarro,Garden of Bones,The Red Waste,The Red Waste,65
Doreah,Garden of Bones,The Red Waste,The Red Waste,65
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,47
Hot Pie,Garden of Bones,The Riverlands,Harrenhal,47
Gendry,Garden of Bones,The Riverlands,Harrenhal,47
Old Woman Prisoner,Garden of Bones,The Riverlands,Harrenhal,61
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,61
Gendry,Garden of Bones,The Riverlands,Harrenhal,61
Hot Pie,Garden of Bones,The Riverlands,Harrenhal,61
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,28
Catelyn Stark,Garden of Bones,The Stormlands,Storm's End,228
Petyr Baelish,Garden of Bones,The Stormlands,Storm's End,228
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,81
Gendry,Garden of Bones,The Riverlands,Harrenhal,81
Hot Pie,Garden of Bones,The Riverlands,Harrenhal,81
Gregor Clegane,Garden of Bones,The Riverlands,Harrenhal,81
Tortured Prisoner,Garden of Bones,The Riverlands,Harrenhal,81
Tortured Prisoner,Garden of Bones,The Riverlands,Harrenhal,79
The Tickler,Garden of Bones,The Riverlands,Harrenhal,79
Gendry,Garden of Bones,The Riverlands,Harrenhal,79
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,79
Lannister Guard,Garden of Bones,The Riverlands,Harrenhal,79
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,21
Old Woman Prisoner,Garden of Bones,The Riverlands,Harrenhal,21
Polliver,Garden of Bones,The Riverlands,Harrenhal,21
Renly Baratheon,Garden of Bones,The Stormlands,Storm's End,193
Catelyn Stark,Garden of Bones,The Stormlands,Storm's End,193
Brienne of Tarth,Garden of Bones,The Stormlands,Storm's End,193
Stannis Baratheon,Garden of Bones,The Stormlands,Storm's End,193
Davos Seaworth,Garden of Bones,The Stormlands,Storm's End,193
Melisandre,Garden of Bones,The Stormlands,Storm's End,193
Loras Tyrell,Garden of Bones,The Stormlands,Storm's End,193
Daenerys Targaryen,Garden of Bones,Qarth,Qarth,327
Jorah Mormont,Garden of Bones,Qarth,Qarth,327
Spice King,Garden of Bones,Qarth,Qarth,327
Xaro Xhoan Daxos,Garden of Bones,Qarth,Qarth,327
Pyat Pree,Garden of Bones,Qarth,Qarth,327
Silk King,Garden of Bones,Qarth,Qarth,327
Tortured Prisoner,Garden of Bones,The Riverlands,Harrenhal,48
Hot Pie,Garden of Bones,The Riverlands,Harrenhal,48
Gregor Clegane,Garden of Bones,The Riverlands,Harrenhal,48
Gendry,Garden of Bones,The Riverlands,Harrenhal,48
The Tickler,Garden of Bones,The Riverlands,Harrenhal,48
Lannister Guard,Garden of Bones,The Riverlands,Harrenhal,48
Tywin Lannister,Garden of Bones,The Riverlands,Harrenhal,95
Arya Stark,Garden of Bones,The Riverlands,Harrenhal,95
Hot Pie,Garden of Bones,The Riverlands,Harrenhal,95
Gregor Clegane,Garden of Bones,The Riverlands,Harrenhal,95
Gendry,Garden of Bones,The Riverlands,Harrenhal,95
The Tickler,Garden of Bones,The Riverlands,Harrenhal,95
Amory Lorch,Garden of Bones,The Riverlands,Harrenhal,95
Tyrion Lannister,Garden of Bones,The Crownlands,King's Landing,231
Lancel Lannister,Garden of Bones,The Crownlands,King's Landing,231
Stannis Baratheon,Garden of Bones,The Stormlands,Storm's End,113
Davos Seaworth,Garden of Bones,The Stormlands,Storm's End,113
Melisandre,Garden of Bones,The Stormlands,Storm's End,68
Davos Seaworth,Garden of Bones,The Stormlands,Storm's End,68
Melisandre,Garden of Bones,The Stormlands,Storm's End,156
Davos Seaworth,Garden of Bones,The Stormlands,Storm's End,156
Catelyn Stark,The Ghost of Harrenhal,The Stormlands,Storm's End,203
Brienne of Tarth,The Ghost of Harrenhal,The Stormlands,Storm's End,203
Renly Baratheon,The Ghost of Harrenhal,The Stormlands,Storm's End,203
Petyr Baelish,The Ghost of Harrenhal,The Stormlands,Storm's End,17
Loras Tyrell,The Ghost of Harrenhal,The Stormlands,Storm's End,149
Renly Baratheon,The Ghost of Harrenhal,The Stormlands,Storm's End,149
Margaery Tyrell,The Ghost of Harrenhal,The Stormlands,Storm's End,149
Petyr Baelish,The Ghost of Harrenhal,The Stormlands,Storm's End,149
Myrcella Baratheon,The Ghost of Harrenhal,The Crownlands,King's Landing,4
Cersei Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,98
Tyrion Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,98
Bronn,The Ghost of Harrenhal,The Crownlands,King's Landing,98
Tyrion Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,98
Lancel Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,98
Davos Seaworth,The Ghost of Harrenhal,The Stormlands,Storm's End,25
Stannis Baratheon,The Ghost of Harrenhal,The Stormlands,Storm's End,25
Davos Seaworth,The Ghost of Harrenhal,The Stormlands,Storm's End,138
Stannis Baratheon,The Ghost of Harrenhal,The Stormlands,Storm's End,138
Tyrion Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,40
Bronn,The Ghost of Harrenhal,The Crownlands,King's Landing,40
Tyrion Lannister,The Ghost of Harrenhal,The Crownlands,King's Landing,57
Bronn,The Ghost of Harrenhal,The Crownlands,King's Landing,57
